Name,Key,latitude,longitude,capacity,BW,status,COD,Type,dc_ac_ratio,capacity_peak,yield,cf_dc,cf_ac,Comment
Sonoblomo Solar Facility,Sonoblomo,-28.7472,25.7361,75,5,failed,,Single Axis,1.15,,,#DIV/0!,0,Placeholder dc_ac_ratio
Du Plessis Dam Solar PV 1,Du_Plessis,-30.6315,24.0398,75,5,construction,,Single Axis,1.15,,,#DIV/0!,0,Placeholder dc_ac_ratio
Graspan Solar PV Project,Graspan,-29.3662,24.417,75,5,construction,,Single Axis,1.15,,,#DIV/0!,0,Placeholder dc_ac_ratio
Grootspruit Solar PV Project,Grootspruit,-27.7375,26.775,75,5,construction,,Single Axis,1.15,,,#DIV/0!,0,Placeholder dc_ac_ratio
Sannaspos Solar PV Project,Sannaspos,-29.194888,26.588306,75,5,construction,,Single Axis,1.15,,,#DIV/0!,0,Placeholder dc_ac_ratio
Grootfontein PV 1,Grootfontein1,-32.9583,19.9319,75,5,construction,,Single Axis,1.15,,,#DIV/0!,0,Placeholder dc_ac_ratio
Grootfontein PV 2,Grootfontein2,-32.9583,19.9444,75,5,construction,,Single Axis,1.15,,,#DIV/0!,0,Placeholder dc_ac_ratio
Grootfontein PV 3,Grootfontein3,-32.9583,19.9528,75,5,construction,,Single Axis,1.15,,,#DIV/0!,0,Placeholder dc_ac_ratio
Kutlwano Solar Power Plant,Kutlwano,-26.029683,26.112373,150,6,awarded,,Single Axis,1.15,,,#DIV/0!,0,Placeholder dc_ac_ratio
Boitumelo Solar Power Plant,Boitumelo,-26.014162,26.105823,150,6,awarded,,Single Axis,1.15,,,#DIV/0!,0,Placeholder dc_ac_ratio
Virginia Solar Park,Virginia,-28.212335,26.990032,240,6,construction,,Single Axis,1.15,,,#DIV/0!,0,Placeholder dc_ac_ratio
Good Hope Solar Park,Good_Hope,-28.64721306,25.76110923,200,6,construction,,Single Axis,1.15,,,#DIV/0!,0,Placeholder dc_ac_ratio
Doornhoek PV,Doornhoek,-26.434,26.2843,120,6,awarded,,Single Axis,1.15,138,325000,0.269,0.309,Placeholder dc_ac_ratio
Ngonyama Solar PV,Ngonyama,-28.652538,25.653755,140,6,awarded,,Single Axis,1.15,,,#DIV/0!,0,Placeholder dc_ac_ratio
